iter	Logloss
0	0.6573458391
1	0.6287096496
2	0.606516386
3	0.5784556979
4	0.5494827495
5	0.5264383557
6	0.5074635247
7	0.4873828163
8	0.469385116
9	0.4524916833
10	0.4373590841
11	0.4218757576
12	0.4090675609
13	0.3951713142
14	0.381198738
15	0.3694335606
16	0.3559957405
17	0.3463014495
18	0.336036913
19	0.3252614615
20	0.3171752267
21	0.3096028425
22	0.3020145011
23	0.2954170695
24	0.290187815
25	0.2832460248
26	0.2767291842
27	0.2716037937
28	0.2677339564
29	0.262788049
30	0.2589139265
31	0.255226958
32	0.25134069
33	0.2476639966
34	0.2446146537
35	0.2416777688
36	0.2382023636
37	0.2351434558
38	0.2308564108
39	0.2281838854
40	0.2252734223
41	0.2221160013
42	0.2198553803
43	0.2168319856
44	0.2139338337
45	0.2113332578
46	0.2090359163
47	0.2064030235
48	0.2045583318
49	0.2025110498
50	0.2010736932
51	0.1993228744
52	0.197335207
53	0.1955294494
54	0.1937829751
55	0.1922824762
56	0.1907799531
57	0.1892901318
58	0.1880147977
59	0.1863379645
60	0.1845825764
61	0.1833029215
62	0.1820318727
63	0.1803430005
64	0.1792492212
65	0.1779788352
66	0.1770131989
67	0.1759097363
68	0.174869049
69	0.1734521835
70	0.1727066928
71	0.1716329428
72	0.1706469457
73	0.1698963529
74	0.1692253569
75	0.1683210398
76	0.1673724143
77	0.1662437847
78	0.1653759633
79	0.164383124
80	0.1636545493
81	0.1630107089
82	0.1624243287
83	0.1616090548
84	0.160882244
85	0.1601765872
86	0.1594663965
87	0.1585969296
88	0.157703302
89	0.1569919039
90	0.1566210289
91	0.1559121877
92	0.155418544
93	0.154789915
94	0.154078292
95	0.1535351903
96	0.1530553494
97	0.1523339957
98	0.151964127
99	0.1514423214
100	0.1505993354
101	0.1499776788
102	0.1495360381
103	0.1492262693
104	0.1485819199
105	0.1481484472
106	0.1478269827
107	0.1471438648
108	0.1464541652
109	0.145858741
110	0.145355272
111	0.1450467343
112	0.1443431727
113	0.1437660614
114	0.1433477646
115	0.1427658472
116	0.1420772721
117	0.1414757988
118	0.1410775788
119	0.1406478468
120	0.1401026972
121	0.1396430869
122	0.1390306992
123	0.1382983365
124	0.1378851181
125	0.1374128177
126	0.1368837438
127	0.1364591138
128	0.1360045345
129	0.1354995621
130	0.1350455983
131	0.1346193348
132	0.1344154305
133	0.1339152168
134	0.1335396659
135	0.1333628818
136	0.1329566831
137	0.1324281892
138	0.1320491817
139	0.1317881842
140	0.1313834061
141	0.1309834104
142	0.1306698061
143	0.1303861986
144	0.1300620944
145	0.1296637086
146	0.129299735
147	0.1289693212
148	0.1285656203
149	0.1281016182
150	0.1276724189
151	0.1274055144
152	0.126963045
153	0.1266002433
154	0.1261710558
155	0.1258167655
156	0.1253046312
157	0.1250231545
158	0.12457756
159	0.1241377304
160	0.1238764133
161	0.1235163817
162	0.123273851
163	0.1229634903
164	0.1225232227
165	0.1222821244
166	0.121930675
167	0.1215937387
168	0.1213365411
169	0.1209933545
170	0.1206667643
171	0.1203566877
172	0.1200233264
173	0.1197040401
174	0.119506682
175	0.1192140187
176	0.1189121812
177	0.1186949595
178	0.1182430318
179	0.1180691123
180	0.1177150706
181	0.1173965774
182	0.1170682944
183	0.11671707
184	0.1164383396
185	0.116186611
186	0.1158990734
187	0.1157187498
188	0.1154587585
189	0.1151097477
190	0.1148913896
191	0.1146234079
192	0.1144156327
193	0.1140306471
194	0.1137111004
195	0.1134665336
196	0.1132421383
197	0.1128585259
198	0.1126244473
199	0.1123181114
200	0.1121057432
201	0.1118471843
202	0.1115308574
203	0.1113335585
204	0.1111270381
205	0.1108878338
206	0.1105584617
207	0.1103023177
208	0.1100790824
209	0.1098642401
210	0.1095488839
211	0.1093462344
212	0.1091008627
213	0.108788016
214	0.1085679296
215	0.1082881102
216	0.1080747949
217	0.1078889431
218	0.1076779835
219	0.1073319085
220	0.1069641113
221	0.1067528321
222	0.1064695798
223	0.1062072801
224	0.1061441615
225	0.1059601801
226	0.1057389217
227	0.10563971
228	0.1054225475
229	0.1052911135
230	0.1051125538
231	0.1050095658
232	0.1048183752
233	0.1045502632
234	0.1042725509
235	0.103961184
236	0.1038077083
237	0.1037642403
238	0.1036357658
239	0.1034977738
240	0.1033322354
241	0.1031475437
242	0.1030564053
243	0.1028005572
244	0.1025272722
245	0.1021898387
246	0.1018931505
247	0.1017025044
248	0.1015298398
249	0.1013263853
250	0.1012625565
251	0.1011485003
252	0.1009356704
253	0.1007675633
254	0.1005751889
255	0.1004252053
256	0.1002395429
257	0.09996686156
258	0.09979045622
259	0.09962635025
260	0.09941762801
261	0.09922962174
262	0.09897430633
263	0.09868137073
264	0.09855560705
265	0.09831948055
266	0.0982262587
267	0.09807298422
268	0.09803875552
269	0.09790389458
270	0.09786460527
271	0.09771270397
272	0.09759136759
273	0.09750309982
274	0.09725134164
275	0.09700382727
276	0.09670954217
277	0.09649250986
278	0.09634988931
279	0.09614334521
280	0.0960850564
281	0.09581492019
282	0.09565392162
283	0.09549917335
284	0.0952796137
285	0.09522765214
286	0.09517790422
287	0.09512822733
288	0.09504222648
289	0.094922429
290	0.09470431355
291	0.09460124274
292	0.09457449547
293	0.09446960165
294	0.09429477665
295	0.09418829658
296	0.09388015546
297	0.09371050353
298	0.09359312686
299	0.09336107253
300	0.09310462662
301	0.09306040099
