iter	Passed	Remaining
412	3908	5554
413	3917	5545
414	3926	5535
415	3935	5524
416	3944	5514
417	3953	5504
418	3962	5494
419	3972	5486
420	3981	5475
421	3989	5464
422	3999	5455
423	4007	5444
424	4017	5435
425	4026	5425
426	4042	5424
427	4054	5418
428	4064	5409
429	4074	5401
430	4084	5392
431	4094	5382
432	4103	5374
433	4113	5364
434	4122	5354
435	4132	5346
436	4141	5335
437	4151	5326
438	4160	5316
439	4168	5305
440	4177	5294
441	4185	5284
442	4194	5273
443	4203	5264
444	4212	5253
445	4221	5243
446	4230	5234
447	4240	5225
448	4249	5215
449	4258	5205
450	4267	5194
451	4278	5186
452	4286	5176
453	4295	5165
454	4304	5155
455	4313	5146
456	4323	5137
457	4333	5128
458	4342	5117
459	4352	5109
460	4363	5101
461	4374	5093
462	4383	5084
463	4393	5075
464	4405	5068
465	4417	5062
466	4428	5053
467	4442	5049
468	4451	5040
469	4464	5034
470	4477	5028
471	4490	5022
472	4502	5016
473	4514	5009
474	4527	5004
475	4540	4998
476	4554	4993
477	4567	4987
478	4580	4981
479	4592	4975
480	4605	4969
481	4616	4961
482	4631	4957
483	4647	4955
484	4659	4947
485	4671	4940
486	4685	4935
487	4698	4929
488	4710	4922
489	4722	4915
490	4733	4906
491	4745	4899
492	4755	4890
493	4766	4881
494	4777	4873
495	4790	4867
496	4801	4859
497	4811	4850
498	4824	4843
499	4837	4837
500	4847	4828
501	4860	4821
502	4871	4813
503	4881	4803
504	4892	4795
505	4903	4787
506	4913	4777
507	4925	4770
508	4936	4762
509	4946	4752
510	4957	4744
511	4969	4736
512	4979	4726
513	4989	4717
514	5000	4709
515	5010	4699
516	5019	4689
517	5028	4678
518	5038	4669
519	5048	4660
520	5061	4653
521	5072	4645
522	5081	4634
523	5092	4626
524	5101	4615
525	5110	4605
526	5120	4595
527	5129	4585
528	5137	4574
529	5146	4563
530	5155	4553
531	5164	4542
532	5173	4532
533	5181	4521
534	5190	4511
535	5199	4500
536	5208	4490
537	5217	4480
538	5225	4469
539	5236	4460
540	5245	4450
541	5254	4440
542	5264	4430
543	5272	4419
544	5281	4409
545	5290	4399
546	5299	4388
547	5307	4377
548	5316	4367
549	5326	4357
550	5335	4347
551	5344	4337
552	5353	4327
553	5362	4316
554	5371	4306
555	5380	4296
556	5389	4286
557	5398	4275
558	5406	4265
559	5417	4256
560	5426	4246
561	5436	4236
562	5445	4226
563	5453	4215
564	5462	4205
565	5471	4195
566	5480	4185
567	5488	4174
568	5497	4163
569	5506	4153
570	5515	4143
571	5523	4132
572	5531	4121
573	5540	4112
574	5548	4101
575	5557	4090
576	5565	4080
577	5574	4069
578	5583	4060
579	5591	4049
580	5602	4040
581	5611	4029
582	5620	4019
583	5629	4009
584	5637	3999
585	5646	3989
586	5655	3979
587	5665	3969
588	5674	3959
589	5686	3951
590	5695	3941
591	5707	3933
592	5718	3924
593	5727	3914
594	5738	3905
595	5751	3898
596	5762	3890
597	5772	3880
598	5786	3874
599	5797	3865
600	5810	3857
601	5822	3849
602	5833	3840
603	5842	3830
604	5855	3823
605	5866	3814
606	5875	3804
607	5886	3795
608	5896	3786
609	5906	3776
610	5917	3767
611	5927	3757
612	5936	3747
613	5946	3738
614	5955	3728
615	5964	3718
616	5973	3708
617	5983	3698
618	5994	3689
619	6003	3679
620	6012	3669
621	6022	3659
622	6032	3650
623	6041	3640
624	6051	3630
625	6060	3620
626	6071	3611
627	6080	3601
628	6089	3591
629	6097	3581
630	6105	3570
631	6114	3560
632	6123	3550
633	6133	3540
634	6141	3530
635	6151	3520
636	6160	3510
637	6170	3501
638	6179	3491
639	6188	3481
640	6196	3470
641	6205	3460
642	6214	3450
643	6223	3440
644	6231	3429
645	6240	3419
646	6249	3409
647	6257	3399
648	6266	3389
649	6275	3379
650	6284	3368
651	6292	3358
652	6301	3348
653	6310	3338
654	6319	3328
655	6327	3318
656	6336	3308
657	6345	3298
658	6356	3289
659	6366	3279
660	6375	3269
661	6384	3259
662	6393	3249
663	6403	3240
664	6412	3230
665	6423	3221
666	6432	3211
667	6442	3201
668	6452	3192
669	6460	3182
670	6469	3172
671	6478	3162
672	6487	3152
673	6497	3142
674	6507	3133
675	6516	3123
676	6525	3113
677	6534	3103
678	6543	3093
679	6554	3084
680	6563	3074
681	6573	3065
682	6582	3055
683	6591	3045
684	6600	3035
685	6610	3025
686	6619	3016
687	6628	3006
688	6637	2996
689	6647	2986
690	6656	2976
691	6665	2966
692	6674	2956
693	6682	2946
694	6691	2936
695	6700	2926
696	6708	2916
697	6717	2906
698	6726	2896
699	6737	2887
700	6746	2877
701	6754	2867
702	6763	2857
703	6773	2847
704	6782	2838
705	6792	2828
706	6802	2818
707	6812	2809
708	6821	2799
709	6830	2790
710	6839	2780
711	6848	2770
712	6857	2760
713	6866	2750
714	6874	2740
715	6884	2730
716	6893	2720
717	6902	2710
718	6910	2700
719	6922	2691
720	6931	2682
721	6940	2672
722	6950	2662
723	6959	2652
724	6967	2642
725	6976	2633
726	6986	2623
727	6996	2614
728	7006	2604
729	7016	2595
730	7026	2585
731	7036	2576
732	7047	2567
733	7057	2557
734	7067	2548
735	7079	2539
736	7089	2529
737	7098	2520
738	7107	2510
739	7117	2500
740	7127	2491
741	7136	2481
742	7146	2472
743	7156	2462
744	7165	2452
745	7174	2442
746	7183	2433
747	7193	2423
748	7202	2413
749	7211	2403
750	7221	2394
751	7230	2384
752	7240	2374
753	7249	2365
754	7258	2355
755	7268	2345
756	7276	2335
757	7285	2325
758	7294	2316
759	7303	2306
760	7311	2296
761	7320	2286
762	7330	2276
763	7338	2266
764	7347	2257
765	7356	2247
766	7365	2237
767	7374	2227
768	7382	2217
769	7390	2207
770	7399	2197
771	7408	2188
772	7417	2178
773	7425	2168
774	7434	2158
775	7443	2148
776	7452	2138
777	7460	2128
778	7469	2119
779	7478	2109
780	7489	2100
781	7497	2090
782	7508	2080
783	7516	2070
784	7525	2061
785	7533	2051
786	7542	2041
787	7551	2031
788	7560	2021
789	7569	2012
790	7577	2002
791	7586	1992
792	7595	1982
793	7604	1972
794	7613	1963
795	7621	1953
796	7630	1943
797	7639	1933
798	7648	1924
799	7657	1914
800	7667	1904
801	7677	1895
802	7686	1885
803	7695	1876
804	7703	1866
805	7713	1856
806	7722	1846
807	7730	1836
808	7739	1827
809	7747	1817
810	7756	1807
811	7766	1798
812	7774	1788
813	7783	1778
814	7792	1768
815	7801	1759
816	7810	1749
817	7818	1739
818	7827	1729
819	7836	1720
820	7845	1710
821	7854	1700
822	7863	1691
823	7874	1681
824	7883	1672
825	7892	1662
826	7901	1652
827	7911	1643
828	7920	1633
829	7930	1624
830	7939	1614
831	7948	1605
832	7957	1595
833	7965	1585
834	7974	1575
835	7983	1566
836	7992	1556
837	8001	1546
838	8009	1537
839	8018	1527
840	8027	1517
841	8035	1507
842	8044	1498
843	8052	1488
844	8062	1478
845	8076	1470
846	8086	1460
847	8095	1450
848	8104	1441
849	8112	1431
850	8121	1422
851	8129	1412
852	8138	1402
853	8147	1392
854	8156	1383
855	8164	1373
856	8173	1363
857	8182	1354
858	8191	1344
859	8200	1335
860	8209	1325
861	8218	1315
862	8226	1306
863	8235	1296
864	8244	1286
865	8252	1276
866	8262	1267
867	8271	1257
868	8280	1248
869	8290	1238
870	8299	1229
871	8307	1219
872	8317	1209
873	8325	1200
874	8334	1190
875	8342	1180
876	8352	1171
877	8361	1161
878	8370	1152
879	8378	1142
880	8388	1133
881	8397	1123
882	8406	1113
883	8415	1104
884	8424	1094
885	8433	1085
886	8441	1075
887	8450	1065
888	8461	1056
889	8470	1046
890	8480	1037
891	8489	1027
892	8498	1018
893	8507	1008
894	8516	999
895	8524	989
896	8533	979
897	8541	970
898	8550	960
899	8559	951
900	8568	941
901	8577	931
902	8586	922
903	8594	912
904	8602	903
905	8611	893
906	8619	883
907	8628	874
908	8637	864
909	8648	855
910	8658	845
911	8667	836
912	8675	826
913	8685	817
914	8693	807
915	8703	798
916	8712	788
917	8721	779
918	8729	769
919	8738	759
920	8746	750
921	8755	740
922	8763	731
923	8772	721
924	8780	711
925	8790	702
926	8799	692
927	8809	683
928	8818	673
929	8828	664
930	8838	655
931	8847	645
932	8859	636
933	8868	626
934	8878	617
935	8888	607
936	8898	598
937	8907	588
938	8916	579
939	8926	569
940	8936	560
941	8944	550
942	8953	541
943	8962	531
944	8971	522
945	8980	512
946	8989	503
947	8999	493
948	9008	484
949	9016	474
950	9025	465
951	9034	455
952	9044	446
953	9054	436
954	9066	427
955	9077	417
956	9088	408
957	9099	398
958	9107	389
959	9116	379
960	9125	370
961	9134	360
962	9143	351
963	9152	341
964	9161	332
965	9170	322
966	9179	313
967	9188	303
968	9197	294
969	9205	284
970	9214	275
971	9225	265
972	9236	256
973	9245	246
974	9255	237
975	9278	228
976	9288	218
977	9297	209
978	9306	199
979	9315	190
980	9325	180
981	9334	171
982	9343	161
983	9352	152
984	9362	142
985	9371	133
986	9380	123
987	9390	114
988	9400	104
989	9409	95
990	9419	85
991	9427	76
992	9439	66
993	9448	57
994	9458	47
995	9468	38
996	9476	28
997	9485	19
998	9494	9
999	9503	0
