iter	Logloss
0	0.6809617976
1	0.6692465427
2	0.6577432223
3	0.6466232369
4	0.6357856621
5	0.6252999889
6	0.6150322184
7	0.6050729084
8	0.5953613191
9	0.5859772407
10	0.5768364557
11	0.5679130401
12	0.5592097289
13	0.5508217667
14	0.5426040508
15	0.5346687185
16	0.5269227338
17	0.5193993605
18	0.5120822027
19	0.5050148867
20	0.4981213396
21	0.4913115969
22	0.4846720209
23	0.4782791125
24	0.4722187457
25	0.4662619137
26	0.46043428
27	0.4546857382
28	0.4490002303
29	0.4436290385
30	0.4383195624
31	0.4331925934
32	0.4282980411
33	0.4235199364
34	0.4188946222
35	0.4144175357
36	0.4100111695
37	0.405605967
38	0.4014667595
39	0.3972607313
40	0.3933824057
41	0.3895466641
42	0.3858599065
43	0.3821855834
44	0.3787092011
45	0.3753310694
46	0.3719950803
47	0.3687670574
48	0.3656515311
49	0.3626043081
50	0.3596418888
51	0.356714332
52	0.3538519662
53	0.3511407079
54	0.3483890019
55	0.3457213533
56	0.3432110145
57	0.3407318432
58	0.3383226809
59	0.3359212155
60	0.3335848522
61	0.3314254396
62	0.3292562324
63	0.3271647911
64	0.3251416512
65	0.3231319512
66	0.3212059874
67	0.3193214648
68	0.3175030924
69	0.3157687803
70	0.3140732972
71	0.3122853239
72	0.3106865105
73	0.3091150194
74	0.30745688
75	0.305972363
76	0.3044429624
77	0.3030066655
78	0.3016175995
79	0.3003142292
80	0.298867296
81	0.2975986289
82	0.2963904244
83	0.2952096446
84	0.2939773161
85	0.2928319972
86	0.291697945
87	0.2904290873
88	0.2893784403
89	0.288333109
90	0.2872726745
91	0.2862683786
92	0.2853365274
93	0.2844003208
94	0.2834505561
95	0.2825786297
96	0.2816702972
97	0.2807915525
98	0.2799701822
99	0.2791909643
100	0.2784236123
101	0.2775641533
102	0.2768417924
103	0.2761059883
104	0.2753065968
105	0.2746070291
106	0.2739101962
107	0.2732773854
108	0.2725968854
109	0.2719785925
110	0.2713835341
111	0.2707357226
112	0.2701904528
113	0.2695838378
114	0.2690524215
115	0.2685138899
116	0.2678230765
117	0.2671586971
118	0.2666656148
119	0.2660705339
120	0.2655550761
121	0.2650359322
122	0.2645521183
123	0.264123574
124	0.2636321641
125	0.2632050299
126	0.262802513
127	0.2623548708
128	0.2619389243
129	0.2615478619
130	0.2611884906
131	0.2608214042
132	0.2604847603
133	0.2601610697
134	0.2598138507
135	0.2594186184
136	0.2591129354
137	0.2587769303
138	0.2584190881
139	0.2581119194
140	0.2578270371
141	0.2575549531
142	0.2571544373
143	0.2568547407
144	0.2566040519
145	0.256311819
146	0.2560763375
147	0.2557826214
148	0.2555091182
149	0.2552050976
150	0.2549863201
151	0.2547089183
152	0.2544941923
153	0.2542646928
154	0.2540464608
155	0.2538387329
156	0.2536111872
157	0.2534021097
158	0.2530850417
159	0.2528776809
160	0.2526364261
161	0.2524552106
162	0.2522241343
163	0.2520570529
164	0.251850082
165	0.2516620681
166	0.2514942797
167	0.251329504
168	0.2511360737
169	0.2509558534
170	0.2507550704
171	0.250570335
172	0.2504067464
173	0.25021516
174	0.2499860357
175	0.2497438936
176	0.2496289045
177	0.2494301933
178	0.2492952764
179	0.2491390005
180	0.2489755326
181	0.2488743085
182	0.2487520483
183	0.2485621053
184	0.2484013768
185	0.2482419911
186	0.2481039549
187	0.2480094269
188	0.2479022417
189	0.2477545126
190	0.2475931225
191	0.247458519
192	0.2473436778
193	0.2472129171
194	0.2471141028
195	0.247033666
196	0.2469518283
197	0.246870484
198	0.2467563626
199	0.2466586626
200	0.2464660578
201	0.2463517034
202	0.2461792734
203	0.2460524558
204	0.2459698599
205	0.2458402626
206	0.2457429266
207	0.2456489372
208	0.2455419535
209	0.2454630965
210	0.2452695257
211	0.2451677975
212	0.2450811862
213	0.2449835063
214	0.2448693732
215	0.244806791
216	0.2447335722
217	0.2446243108
218	0.2444816474
219	0.2444148496
220	0.2443447179
221	0.2442787907
222	0.2441869483
223	0.2441055716
224	0.2440371686
225	0.2439413833
226	0.2438698661
227	0.2437975899
228	0.2437150674
229	0.2436690891
230	0.2435341951
231	0.2434526516
232	0.2433481765
233	0.2432854067
234	0.2432152227
235	0.2431433256
236	0.2430533005
237	0.2430160227
238	0.2429519916
239	0.2428353106
240	0.2427443299
241	0.2426113328
242	0.2425531752
243	0.2424599324
244	0.2423987073
245	0.2422847522
246	0.2422493924
247	0.2421632266
248	0.2421042028
249	0.2419989461
250	0.241940174
251	0.2418955542
252	0.2417671398
253	0.2416633338
254	0.2416190675
255	0.2415387457
256	0.2415059277
257	0.2413934123
258	0.241345218
259	0.241260425
260	0.2411639714
261	0.2411019063
262	0.2410824446
263	0.2410331145
264	0.2409902158
265	0.2409031055
266	0.2408449175
267	0.2408025398
268	0.2407023824
269	0.240649553
270	0.2405998789
271	0.2405664141
272	0.2405147138
273	0.2404508489
274	0.2404120633
275	0.2403749805
276	0.2402964201
277	0.2402463727
278	0.2402122178
279	0.240185782
280	0.2401286405
281	0.240083948
282	0.2400336803
283	0.239999426
284	0.2399402495
285	0.2398883219
286	0.2398411334
287	0.2397914419
288	0.239740323
289	0.2397267346
290	0.2396780381
291	0.2396614919
292	0.239630591
293	0.2395883143
294	0.2395625257
295	0.2395384566
296	0.2394960267
297	0.2394373543
298	0.2394032182
299	0.2393476661
300	0.239298432
301	0.2392888283
302	0.2392659827
303	0.2392379406
304	0.2392050226
305	0.2391802545
306	0.239144282
307	0.2390981775
308	0.2390567358
309	0.239032078
310	0.2389850936
311	0.2389565212
312	0.2389456768
313	0.2388996618
314	0.23885306
315	0.238820174
316	0.2388008773
317	0.2387403273
318	0.238723274
319	0.2386816485
320	0.2386554613
321	0.2386158804
322	0.2385840517
323	0.2385687196
324	0.2385450709
325	0.2385291174
326	0.2384955521
327	0.2384779762
328	0.2384602642
329	0.2384277971
330	0.2383894896
331	0.2383278807
332	0.2383131112
333	0.2382933367
334	0.2382619533
335	0.2382243211
336	0.2381991651
337	0.238192559
338	0.2381749338
339	0.2380891581
340	0.2380630261
341	0.2380482106
342	0.2380327281
343	0.237990415
344	0.2379654548
345	0.2379417272
346	0.2379227162
347	0.2378862953
348	0.2378605387
349	0.2378497753
350	0.2378290802
351	0.2378041018
352	0.2377832592
353	0.2377719717
354	0.237733213
355	0.237701697
356	0.2376761352
357	0.2376529646
358	0.2376230889
359	0.2375975397
360	0.2375815366
361	0.237556585
362	0.2375498584
363	0.2375347718
364	0.2375245959
365	0.2375194724
366	0.2374947266
367	0.2374454521
368	0.2374183971
369	0.2374057977
370	0.2373458498
371	0.2373146105
372	0.237310625
373	0.2372983394
374	0.2372612078
375	0.2372495154
376	0.2372468416
377	0.2372275046
378	0.2372029281
379	0.237163113
380	0.2371479351
381	0.2371086972
382	0.2371022911
383	0.2370861469
384	0.2370481494
385	0.2370282783
386	0.2369951344
387	0.2369686567
388	0.2369371867
389	0.2369256762
390	0.2368818429
391	0.2368606426
392	0.2368528725
393	0.2368228464
394	0.2367587002
395	0.2367337606
396	0.2367119856
397	0.2366620425
398	0.2366559298
399	0.2366453556
400	0.2366426548
401	0.2366001906
402	0.2365913538
403	0.2365619433
404	0.2365413039
405	0.236523946
406	0.2364979771
407	0.2364802255
408	0.2364638596
409	0.2364473965
410	0.2364175578
411	0.2363935902
412	0.2363734927
413	0.2363528446
414	0.2363265564
415	0.2363177465
416	0.2363098421
417	0.2362811757
418	0.2362645076
419	0.2362544928
420	0.2362380594
421	0.2362235042
422	0.2362139236
423	0.2361819405
424	0.2361594732
425	0.2361244921
426	0.2361033662
427	0.2360776974
428	0.2360568261
429	0.2360345849
430	0.2359923773
431	0.2359695213
432	0.2359524528
433	0.2359239852
434	0.2358992209
435	0.2358710735
436	0.2358564368
437	0.2358255005
438	0.2357839244
439	0.2357658201
440	0.2357427327
441	0.2357379866
442	0.2357275234
443	0.235712584
444	0.2356723648
445	0.2356528857
446	0.2356101928
447	0.2356040632
448	0.2356004772
449	0.2355958563
450	0.2355749671
451	0.2355596851
452	0.2355355706
453	0.2355100996
454	0.2355066021
455	0.2354740347
456	0.2354204695
457	0.235412254
458	0.2353955082
459	0.2353635431
460	0.2353553652
461	0.2353455844
462	0.2353220086
463	0.2352964351
464	0.2352950609
465	0.2352690208
466	0.2352309487
467	0.2352252868
468	0.2352113917
469	0.2351928425
470	0.23515792
471	0.235147277
472	0.2351333664
473	0.2351282413
474	0.235103177
475	0.235062778
476	0.2350362677
477	0.2350263344
478	0.2350179593
479	0.2349709758
480	0.2349344421
481	0.2348936544
482	0.2348713596
483	0.234836367
484	0.2348193569
485	0.234794365
486	0.2347751701
487	0.2347496884
488	0.2347178745
489	0.2347049767
490	0.2346953614
491	0.2346748039
492	0.2346639042
493	0.2346253356
494	0.234610454
495	0.2346041206
496	0.2345973083
497	0.2345826226
498	0.2345538357
499	0.2345383216
500	0.2345210373
501	0.2345086733
502	0.2344996375
503	0.2344806291
504	0.2344667059
505	0.2344630881
506	0.234459307
507	0.2344459361
508	0.2344171162
509	0.23440259
510	0.2343797883
511	0.2343642588
512	0.2343514397
513	0.2343293847
514	0.2343068124
515	0.2342831894
516	0.2342659567
517	0.2342543065
518	0.234238439
519	0.2342208684
520	0.2342094393
521	0.2341837728
522	0.2341748105
523	0.2341611169
524	0.2341451091
525	0.2341273985
526	0.2341161412
527	0.2341107217
528	0.2340708508
529	0.2340691999
530	0.2340509282
531	0.2340189518
532	0.2340059095
533	0.2339903991
534	0.2339769981
535	0.2339574948
536	0.2339291219
537	0.2338983404
538	0.2338949326
539	0.2338664828
540	0.2338243012
541	0.2338130653
542	0.2337741477
543	0.2337589191
544	0.2337259182
545	0.2336914167
546	0.2336869821
547	0.2336653261
548	0.233648741
549	0.2336401216
550	0.2336254082
551	0.2336103559
552	0.2335802582
553	0.2335564893
554	0.2335260587
555	0.2334957834
556	0.2334765729
557	0.2334404739
558	0.2334349757
559	0.2334263517
560	0.2334167739
561	0.2333992202
562	0.233383549
563	0.2333532488
564	0.2333502648
565	0.2333246561
566	0.2333164966
567	0.2333016119
568	0.2332943235
569	0.2332828216
570	0.2332735619
571	0.23326312
572	0.2332509274
573	0.2332437692
574	0.2332306784
575	0.2332200884
576	0.2332067319
577	0.2332035033
578	0.2331940677
579	0.2331651258
580	0.2331476606
581	0.2331389244
582	0.2331253357
583	0.2331178709
584	0.233103707
585	0.2330776303
586	0.2330292727
587	0.2330250425
588	0.2330075967
589	0.2329755658
590	0.2329651709
591	0.2329338963
592	0.2329072916
593	0.2328951777
594	0.2328924621
595	0.2328654145
596	0.2328583651
597	0.2328509049
598	0.2328390488
599	0.2328375848
600	0.2328196545
601	0.2327900664
602	0.232763412
603	0.2327349442
604	0.2327214191
605	0.2327092848
606	0.2326864109
607	0.2326748475
608	0.2326641651
609	0.2326453471
610	0.2326323798
611	0.2326284924
612	0.2326225882
613	0.2326078106
614	0.23260382
615	0.2325583943
616	0.2325553584
617	0.2325289964
618	0.2325016833
619	0.2324980289
620	0.2324667408
621	0.2324581469
622	0.2324390609
623	0.2324369838
624	0.2324188569
625	0.2324124523
626	0.2323925669
627	0.2323554949
628	0.2323318937
629	0.2322975351
630	0.2322695994
631	0.2322614036
632	0.2322295474
633	0.232222647
634	0.2322136924
635	0.2321818881
636	0.2321611146
637	0.232136521
638	0.2321259944
639	0.2320895475
640	0.2320849204
641	0.2320762298
642	0.2320711716
643	0.2320528759
644	0.232041977
645	0.2320337273
646	0.2320112075
647	0.2319894079
648	0.2319728784
649	0.2319714404
650	0.2319294406
651	0.231908012
652	0.2318917146
653	0.2318648452
654	0.2318606265
655	0.2318389838
656	0.2317997503
657	0.2317879014
658	0.2317693174
659	0.2317576188
660	0.2317360811
661	0.2317223321
662	0.2317134038
663	0.2317112372
664	0.231699756
665	0.2316957523
666	0.2316702679
667	0.2316520181
668	0.2316373761
669	0.2316106881
670	0.2315962484
671	0.2315835883
672	0.231574097
673	0.2315393329
674	0.2315308872
675	0.2315232096
676	0.2315103742
677	0.2314905783
678	0.2314647407
679	0.2314581222
680	0.2314475173
681	0.2314324397
682	0.2314148988
683	0.2313992103
684	0.231389393
685	0.231387102
686	0.231356941
687	0.2313103795
688	0.2313064136
689	0.2312944234
690	0.231290803
691	0.2312849589
692	0.2312734217
693	0.23126605
694	0.2312362497
695	0.231219283
696	0.2311891754
697	0.2311498656
698	0.2311416774
699	0.2311265822
700	0.2311119249
701	0.2310840823
702	0.2310657788
703	0.2310506484
704	0.2310479767
705	0.231040048
706	0.2309954291
707	0.2309636506
708	0.2309582456
709	0.2309429404
710	0.2309227808
711	0.2308970192
712	0.2308951198
713	0.2308773993
714	0.2308756578
715	0.230830107
716	0.2308147678
717	0.2308048345
718	0.2307877155
719	0.2307528546
720	0.2307484743
721	0.2307379654
722	0.2307035174
723	0.2306795387
724	0.230658342
725	0.2306381233
726	0.2306184226
727	0.2305988042
728	0.2305650656
729	0.2305602204
730	0.2305377311
731	0.2305342186
732	0.2305098015
733	0.2305072207
734	0.2304953402
735	0.2304864902
736	0.2304580912
737	0.2304264199
738	0.2304142631
739	0.2303976613
740	0.2303848552
741	0.2303454626
742	0.2303154706
743	0.2302874439
744	0.2302829215
745	0.2302546025
746	0.2302313133
747	0.2302033389
748	0.2301755329
749	0.2301634495
750	0.23014299
751	0.230118292
752	0.2300953844
753	0.2300696278
754	0.2300400254
755	0.23001727
756	0.2299745905
757	0.229965621
758	0.2299573633
759	0.2299517232
760	0.2299317672
761	0.2299247252
762	0.2299082122
763	0.2298694957
764	0.2298478932
765	0.2298132569
766	0.2298010006
767	0.2297754585
768	0.2297690563
769	0.2297467069
770	0.2297180888
771	0.229680674
772	0.2296771076
773	0.2296309556
774	0.2296123298
775	0.2295956045
776	0.229583507
777	0.229575588
778	0.2295506937
779	0.2295397481
780	0.2294984916
781	0.2294909194
782	0.2294865525
783	0.2294743146
784	0.2294489414
785	0.2294382428
786	0.2294263348
787	0.2294101402
788	0.2294017669
789	0.2293982512
790	0.2293672114
791	0.2293599051
792	0.2293552033
793	0.2293390796
794	0.2293132359
795	0.2293108928
796	0.2292770725
797	0.2292622757
798	0.2292537351
799	0.2292297899
800	0.2292237745
801	0.2291988092
802	0.2291779236
803	0.2291609713
804	0.2291433557
805	0.2291144281
806	0.2290795377
807	0.2290441522
808	0.2290052384
809	0.2289854975
810	0.2289824603
811	0.2289476142
812	0.2289139827
813	0.2288720196
814	0.2288694109
815	0.2288639661
816	0.2288600255
817	0.2288247997
818	0.2288190787
819	0.2287853962
820	0.228782972
821	0.2287667427
822	0.2287522114
823	0.2287383148
824	0.2287045264
825	0.2286976868
826	0.2286729773
827	0.2286649141
828	0.2286323752
829	0.2285968926
830	0.2285576948
831	0.2285232331
832	0.2285017998
833	0.2285007842
834	0.2284837052
835	0.2284494032
836	0.2284434265
837	0.2284148708
838	0.2284012663
839	0.2283805375
840	0.2283446562
841	0.2283342617
842	0.2282996531
843	0.2282929475
844	0.2282567095
845	0.2282330687
846	0.228212882
847	0.2282110156
848	0.2281720867
849	0.2281677311
850	0.2281599241
851	0.2281256137
852	0.2281204084
853	0.2280859992
854	0.2280559796
855	0.2280511123
856	0.2280395702
857	0.2280299625
858	0.227998409
859	0.2279955331
860	0.2279577613
861	0.2279284157
862	0.2278915975
863	0.2278910619
864	0.227876384
865	0.2278468092
866	0.2278377768
867	0.2278041516
868	0.2277880662
869	0.2277596135
870	0.2277549667
871	0.2277512124
872	0.2277237829
873	0.2277172892
874	0.2277122971
875	0.2277071991
876	0.2277010496
877	0.2276937704
878	0.2276680037
879	0.2276613095
880	0.2276564654
881	0.2276439355
882	0.2276124694
883	0.2275875654
884	0.2275850613
885	0.2275576059
886	0.2275456866
887	0.227509939
888	0.2274982311
889	0.2274948503
890	0.2274866551
891	0.227480572
892	0.2274483174
893	0.2274461606
894	0.2274207348
895	0.2273980105
896	0.2273930191
897	0.2273907292
898	0.2273843091
899	0.2273572495
900	0.227324608
901	0.2273119272
902	0.2272932275
903	0.2272844718
904	0.227282581
905	0.227266299
906	0.2272650208
907	0.2272399573
908	0.2272119797
909	0.2271909948
910	0.2271592576
911	0.2271297224
912	0.2271035348
913	0.2270949236
914	0.2270673629
915	0.2270600449
916	0.2270370688
917	0.2270334216
918	0.2270024284
919	0.2269891773
920	0.2269835219
921	0.2269737287
922	0.2269529261
923	0.2269445036
924	0.2269382132
925	0.2269062081
926	0.2268948738
927	0.2268891634
928	0.2268849416
929	0.2268513938
930	0.2268190173
931	0.2268021098
932	0.2267949638
933	0.2267833084
934	0.2267666095
935	0.2267427199
936	0.2267152545
937	0.2267049844
938	0.2266815996
939	0.2266648492
940	0.2266384015
941	0.2266311224
942	0.2266294445
943	0.2266253835
944	0.2266015992
945	0.226585743
946	0.2265798351
947	0.2265733963
948	0.2265712663
949	0.2265595084
950	0.2265580167
951	0.2265278062
952	0.2265264467
953	0.226518902
954	0.226514563
955	0.2264973224
956	0.2264929689
957	0.2264816346
958	0.2264554257
959	0.2264505152
960	0.226438586
961	0.2264144829
962	0.2264115811
963	0.2263857387
964	0.2263760258
965	0.2263722734
966	0.2263672831
967	0.2263640886
968	0.2263422724
969	0.2263205335
970	0.2263128003
971	0.2263029642
972	0.2262958226
973	0.2262895268
974	0.2262805245
975	0.2262511122
976	0.2262300941
977	0.2262241726
978	0.2262198623
979	0.2262044302
980	0.2261841029
981	0.2261640958
982	0.2261562835
983	0.2261535686
984	0.2261420473
985	0.2261214557
986	0.2261126217
987	0.2260897246
988	0.2260707964
989	0.2260491793
990	0.226029613
991	0.2260256326
992	0.2260170215
993	0.2259969608
994	0.2259898685
995	0.2259864623
996	0.225979703
997	0.2259606794
998	0.2259520857
999	0.2259506732
